,name,EAN_code,brand,price_in_pound,stars,number of reviews,Form,size,availablty,description
592,Argiletz Pink Clay Face Mask 15ml,3326101000174,Argiletz,0.99,0.0,0,Paste,15ml,In stock,"Argiletz Pink Clay Face Mask 15ml is a single dose ready to use, specially dedicated to sensitive skins.It contains sun-dried and optimised raw illite clay.Particularly used to purify the sensitive and reactive skins, pink clay cleanses the face, absorbing toxins. It softens the skin and provides luminosity to the complexion.Rich in trace-element, this mask provides minerals essential to the epidermis.100% natural clay.Made in France. "
594,Mavala Cuticle Oil Daily Cuticle Care 10ml,7618900914506,Mavala,7.20,4.0, 4 ,Oil,10ml,In stock,"Mavala Cuticle Oil Daily Cuticle Care 10ml is an oil to soften the skin of the nail contour and allows to push the cuticle easily in order to get an even and perfect nail contour.The nail is clean and beautiful, ready to be sublimated."
595,Clinique Moisture Surge 72-Hour Auto-Replenishing Hydrator All Skin Types 50ml,20714915049,Clinique,31.80,4.0, 4 ,Cream-gel,50ml,In stock,"Clinique Moisture Surge 72-Hour Auto-Replenishing Hydrator All Skin Types 50ml is an ultra-refreshing gel-cream optimized to provide almost twice as much hydration at the end of the day.It works continuously for 72 hours. Its ultra-rehydrating technology helps the skin create its own supply of water for a continuous replenishment and retains this moisture for a perpetually plumped, fresh and radiant skin.Submitted to allergy tests.Without perfume. Without paraben. Phthalate-free. Oil-free."
598,La Roche-Posay Lipikar 48HR Lipid-Replenishing Anti-Dryness Body Milk 200ml,3337875552097,La Roche-Posay,12.70,0.0,0,Milk,200ml,In stock,"La Roche-Posay Lipikar 48HR Lipid-Replenishing Anti-Dryness Body Milk 200ml is a lipid-replenishing body milk specially formulated for the sensitive to dry skins. This milk contains Niacinamide that restores the cutaneous barrier and soothes the sensations of twinges. Shea Butter replenishes intensely and give suppleness and confort to the skin. It provides lipids to impregnate immediately the dry skin and reinforce durably the cutaneous barrier and protect it from external aggressions. Its fluid texture is easy to apply on the skin, it doesn't leave any oily or sticky effect. After application, the cutaneous barrier finds its natural protective function, it is nourished, protected and finds suppleness and gentleness. Formulated with paraben free. Hypoallergenic.Tested under dermatologic and pediatric control."
599,Avène Cold Cream Nourishing Lip Balm 4g,3282770100273,Avène,3.60,4.0, 6 ,Balm,4g,In stock,"Intended for the treatment of chapped lips, Avène Cold Cream Nourishing Lip Balm 4g restructures, nourishes, relieves, softens and durably protects the chapped and damaged lips, by climatic or medicinal aggressions.Pleasantly scented, it ensures a durable holding and comfort.- Nutritive and protective: Thanks to its high rate of Cold cream.- Anti-irritant and alleviating: Thanks to its high content of Avene Thermal Spring Water.- Regenerating: Thanks to the presence of sucralfate.Hypoallergenic product and non comedogenic."
601,Jaldes Elteans Cream 50ml,3401561747644,Jaldes,9.90,0.0,0,Cream,50ml,In stock,"Jaldes Elteans Cream 50ml is a cream especially recommended to moisturize and soothe dry skin during aging or during exposure to cold as well as very dry skins with atopic tendency. It can be applied both on the face and on the body.Its formula includes several botanical and marine oils (omega 3 and 6):- Borage oil- Wheat germ oil- Blue fish oil- Lavender essential oil from ProvenceFormulated without paraben, phenoxyethanol, silicone, phthalate, mineral oil, dye and tested under dermatological control."
602,Aderma Dermalibour+ Repairing Cream 100ml,3282770014112,Aderma,10.90,4.0, 16 ,Cream,100ml,In stock,"Aderma Dermalibour+ Repairing Cream 100ml is a soothing, cleansing, and repairing care intended for irritated and weakened skin (which reddens, tears or flakes) of the whole family (infants, children, adults).Ideal for daily use, this cream acts on irritations around the mouth, on dry patches, redness of the seat, irritations of the hands, and can be used on the body as well as on the face.This anti-irritation treatment is formulated with extract of Rhéalba® oat plantlets and copper-zinc which immediately soothes, cleanses the irritated area and promotes epidermal repair. From the first application, the discomfort disappears.Formulated to minimize the risk of allergic reactions.Formulated under dermatological, pediatric, gynecological and ophthalmological control.Waterproof. Non-comedogenic.Without perfume.Made in France. "
603,Eucerin AtopiControl Soothing Face Cream 50ml,4005800045936,Eucerin,14.50,4.0, 52 ,Cream,50ml,In stock,"Eucerin AtopiControl Soothing Face Cream 50ml is a cream for the face suitable for the very dry skins subject to redness. It moisturizes and soothes the skin from the sensation of itches.This care is formulated based of ingredients of natural origin. Its formula is highly concentrated in fatty acids Omega-6 (Evening primrose oil and Grape Seed Oil) thus soothing Licochalcone (extract of licorice root) which allows to redensify the skin. It allows also to help the skin to restore the natural protective barrier and also makes it more resistant. Use regularly this cream improves durably the state of your skin. You can also use it as a make-up base if you have a dry, reactive, weaken skin and prone to itching. It is suitable also for the atopic skin and for he infants also. At its application, the cream is easily absorbed, it moisturizes and calms your skin while giving it flexibility. Your skin is thus relieved of every sensation of itches or twinges.Formulated with fragrance free, paraben free, dye free."
604,Vichy LiftActiv Specialist Collagen 50ml,3337875607254,Vichy,35.40,0.0,0,Cream,50ml,In stock,"Vichy LiftActiv Specialist Collagen 50ml is an anti-aging day cream indicated to correct the signs linked to the slowing down of collagen production: wrinkles, sagging contours and lack of firmness, dull complexion and pigment marks.Thanks to its high performance active ingredients (anti-aging peptides + vitamin C), wrinkles are filled, contours reshaped and the complexion unified. Immediately, the skin is toned, wrinkles diminish, pigmentation and sagging skin fade. It also provides 48 hour long lasting hydration.Tested on sensitive skin under dermatological control.Made in France. "
605,RoC Perfecting Toner Lotion 200ml,3574660562347,RoC,9.99,4.0, 4 ,Lotion,200ml,In stock,"RoC Perfecting Toner Lotion 200ml has been developped to unclog pores and tone the skin. Perfectly clean, the skin can breathe.Toning and refreshing, this lotion has been specially formulated to minimise the risk of allergies. It is adapted to all types of skins, even sensitive skins."
606,Uriage Gentle Jelly Face Scrub 50ml,3661434006494,Uriage,9.99,5.0, 1 ,Jelly,50ml,In stock,"Uriage Gentle Jelly Face Scrub 50ml with fresh and mild texture removes make-up and desincrusts impurities and dead cells only in one gesture.It removes dead cells thanks to its exfoliating micro-balls and allows the cell regeneration. Scrubbed, the skin is purified. The complexion is fresh and natural.Hypoallergenic."
607,SkinCeuticals Moisturize Hydrating B5 30ml,635494317206,SkinCeuticals,59.10,5.0, 10 ,Fluid,30ml,In stock,"SkinCeuticals Moisturize Hydrating B5 30ml is a moisture-enhancing fluid with high concentrations of hyaluronic acid and vitamin B5 ideal for all type of skin.Thanks to hyaluronic acid, it helps to fix water present in the skin for a better hydration. Vitamin B5 brings its properties of tissue repair and allows to maximize these benefits for a perfect hydration. Recommended jointly with treatments with vitamin C, this serum helps to renew the stocks of nutriments.Your skin is smooth, soft, supple and appears younger.Fragrance-free."
608,Darphin Intral Cleansing Milk 500ml,882381004507,Darphin,33.60,4.0, 23 ,Milk,500ml,In stock,"Darphin Intral Cleansing Milk 500ml with chamomile gently removes make-up of sensitive skins. It removes impurities and marks of make-up, letting the skin soft and clean.84% of the total ingredients are from natural origin. Paraben-free. Tested under dermatological control."
609,Avène XeraCalm AD Soothing Concentrate 50ml,3282770114201,Avène,10.83,0.0,0,Cream,50ml,In stock,"Avène XeraCalm AD Soothing Concentrate 50ml is a care indicated for the dry areas subject to intense itching and to atopic eczema for the whole family (infant, children, adults). It immediately soothes the sensation of intense located itchings and irritation. It reduces the peak of severe dryness to re-establish the cutaneous comfort. Its formula is adapted to the irritated areas and to recurrent areas of internal scratching. It is concentrated in:- I-modulia* complex, the first ingredient biotechnologic from Avene Thermal water. It diminishes the itching, redness and irritations due to hyper-reactivity of the skin,- protective and restorative Cer-Omega complex, ultra-concentrated oil of vegetable origin,- soothing Avene Thermal water, anti-irritation and softening.Sterile.Elaborated in order to minimize the risks of allergic reactions. Non comedogenic. Preservative free. Fragrance free.Made in France."
610,Ducray Ictyane Hydrating Body Lotion 400ml (New Version),3282770204780,Ducray,12.70,5.0, 1 ,Milk,400ml,In stock,"Ducray Ictyane Hydrating Body Lotion 400ml (New Version) is a body lotion specially formulated to provide suppleness and softness to the normal to dry skins. This moisturizing lotion with formula gently fragranced, moisturizes durably the normal to dry skins. Its fluid and non sticky texture is easy to apply and penetrates in the skin in an instant, allowing thus a fast dressing. It is effective during 48 hours.Tested under dermatologic control.Made in France"
611,Melvita Nectar de Roses Organic BB Complexion Enhancer Intense Hydration 40ml,3284410044183,Melvita,19.60,0.0,0,Cream,40ml,In stock,Melvita Nectar de Roses Organic BB Complexion Enhancer Intense Hydration 40ml is a cream with fine and fluid texture enriched in floral water of Rose. This care intensely moisturizes and unifies for a fresh complexion as rose the whole day.Non comedogenic.Tested under dermatological control.Silicon free. Cosmos Organic certified by Ecocert Greenlife.99% of total ingredients are from natural origin.26% of total ingredients are from Organic Farming.Made in France.
612,Ducray Ictyane Hand Cream 50ml,3282770203455,Ducray,2.80,0.0,0,Cream,50ml,In stock,"Ducray Ictyane Hand Cream 50ml with physio-protective complex has been specially formulated to correct cutaneous dryness, intensely protect and repair damaged hands and nails caused by climatic stress (wind, cold, heat).Dermatologically tested.Made in France."
613,Nuxe Rêve de Miel Melting Honey Body Oil Balm 200ml,3264680015816,Nuxe,16.30,0.0,0,Balm,200ml,In stock,"Nuxe Rêve de Miel Melting Honey Body Oil Balm 200ml is a care that intensely nourishes, repairs and soothes the sensation of irritation. It is particularly recommended to the very dry and sensitive skins. It offers a durable comfort during 48 hours.Contains 93% of ingredients from natural origin.Made in France."
614,Melvita Nigella Oil Organic 50ml,3284410042479,Melvita,9.99,0.0,0,Oil,50ml,In stock,"Melvita Nigella Oil Organic 50ml is a purifying and toning face, body and hair oil.The organic Nigella Oil is extracted from the black seeds of a renonculaceae with white flowers that grows in the shade of the oases. It is known to tone the hair scalp and relieve body tensions. It is also used for its purifying properties on oily skins.Melvita plant oils come from the first cold press of organic cultivation, without dye, without chemical solvent. An uncompromising quality control has been achieved, guaranteeing a high concentration of active ingredients. The extraction process is completely controlled and adapted.100% of the total ingredients are from natural origin.99,9% of the total ingredients are from organic origin. "
615,Algotherm Algohydra Nutri Re-Source Serum 30ml,3273819213030,Algotherm,36.40,4.0, 2 ,Serum,30ml,In stock,Algotherm Algohydra Nutri Re-Source Serum 30ml is a serum that moisturizes and nourishes. It is ideal for the dray skin.This serum helps to boost your skin's hydration and visibly refreshed and strengthened. In a single step your skin recovers its natural comfort.This serum contains several actives as :- Chondrus Crispus Seaweed Extract : moisturizes the upper layers of the epidermis.- Kappaphycus Alvarezii Seaweed Extract : protects skin against dryness.- Mallow Extract : emmolients and softens.
616,Melvita Organic Avocado Oil 50ml,3284410042431,Melvita,8.60,0.0,0,Oil,50ml,In stock,"Melvita Organic Avocado Oil 50ml is a smoothing care for the eyes and face contour.The organic Avocado Oil is very rich in unsaponifiables. It is obtained from the fruit pulp of Persea Gratissima. This oil is an excellent natural anti-aging care, and is recommended for the care of dry and delicate skins.Very nourishing, the Avocado Oil is ideal for the contour of the eye, the care of the neck and the stretch marks.Melvita plant oils come from the first cold press of organic cultivation, without dye, without chemical solvent. An uncompromising quality control has been achieved, guaranteeing a high concentration of active ingredients. The extraction process is completely controlled and adapted.100% of the total ingredients are from natural origin.99,8% of the total ingredients are from organic origin."
617,Algotherm Algohydra Repair Re-Source Cream 50ml,3273819213047,Algotherm,36.40,5.0, 5 ,Cream,50ml,In stock,"Algotherm Algohydra Repair Re-Source Cream 50ml allow an intense moisturizing if the dry and sensitive skins.This velvety cream immediately soothes skin and moisturizes durably the skin of your face. The skin is nourished and protected from the cutaneous drying up. At its application, skin is left feeling soft and soothed for lasting comfort.This cream contains several actives :- Chondrus Crispus Seaweed Extract : moisturizes the upper layers of the epidermis.- Kappaphycus Alvarezii Seaweed Extract : protects skin against dryness.- Mallow Extract : emollients and softens.Tested under dermatological and ophtalmological control. Hypoallergenic. Paraben Free. Phenoxyethanol free."
618,Darphin Stimulskin Plus Total Anti-Aging Multi-Corrective Divine Splash Mask Lotion 125ml,882381078324,Darphin,62.70,0.0,0,Lotion,125ml,In stock,"Darphin Stimulskin Plus Total Anti-Aging Multi-Corrective Divine Splash Mask Lotion 125ml is a 2-in-1 care that you can use both as a liquid mask or in pre-care lotion.This mask lotion contains: - Sea Emerald - Commiphora Mukul- Glucosamine - Caffeine From its application, it moisturizes and soothes intensely the skin. It prepares thus your skin in order to maximize the benefits of the cares. Your skin is more soft and smoother, instantaneously revived!Formulated with paraben free. Non comedogenic. Tested under dermatologic control. Clinically-proven efficacy. "
619,Erborian CC Cream with Centella Asiatica 15ml,8809255780178,Erborian,13.90,5.0, 2 ,Cream,15ml,In stock,"Erborian CC Cream with Centella Asiatica 15ml is a high definition radiance face cream skin perfector.This cream with fine texture has been formulated to adapt to the skin, to even out and enhance the complexion.It contributes:to provide radiance, protection and hydration.to even and hide the fine lines.to visibly refine the skin texture.The skin becomes more luminous, softer and the imperfections seem reduced.Non comedogenic.Tested under dermatological control. "
620,Melvita Lily Extraordinary Water 100ml,3284410041106,Melvita,14.50,5.0, 1 ,Water,100ml,In stock,"Melvita Lily Extraordinary Water 100ml is an extraordinary lotion-serum that combines the brightening white star lily extract with the plumping power of a micro hyaluronic acid of natural origin, in a texture with immediate penetration.Instantly, the complexion becomes brighter. Replumped, the skin is ideally prepared for the application of the following care.Tested under dermatological control.100% of the total ingredients are of natural origin.20% of the total ingredients are of organic origin. "
621,SVR Topialyse Nutri-Repair Cream Hands 2 x 50ml,3401525862864,SVR,7.20,4.0, 4 ,Cream,2 x 50ml,In stock,"SVR Topialyse Nutri-Repair Cream Hands 2 x 50ml has been specially created to nourish and repair the ultra dry and damaged hands of the whole family.Its formula enriched in omega 3,6,9 and in shea butter offers an extreme comfort and leaves a pleasant and delicate fragrance on the hands. The hands are suppler and softer immediately and durably.Free from paraben, hypoallergenic, tested on sensitive hands. Made in France."
622,SVR Topialyse Lips Care 4g,3401381381462,SVR,3.20,5.0, 2 ,Balm,4g,In stock,"SVR Topialyse Lips Care 4g is a nourishing repairing care for the damaged lips of the whole family.The formula of this care is rich in omega 3,6,9 for an immediate and durable repair. The lips are nourished, protected, comfortable.Paraben-free. Made in France."
623,CicaBiafine Daily Hydrating Body Balm 2 x 400ml,3574661569871,CicaBiafine,22.30,0.0,0,Balm,2 x 400ml,In stock,"CicaBiafine Daily Hydrating Body Balm 2 x 400ml is a balm that brings reparation and comfort. Enriched with hyaluronic acid and panthenol, it immediately soothes and hydrates, repairs intensely from the first application, penetrates quickly without sticky effect.  From the first day, the skin becomes soft and smooth again. It offers a rich and melting texture, specifically developed for very dry skin.High tolerance formula.Clinically tested. "
624,Uriage Xémose Lipid Replenishing Anti-Irritation Cream 200ml,3661434004841,Uriage,9.44,5.0, 8 ,Cream,200ml,In stock,"Uriage Xémose Lipid Replenishing Anti-Irritation Cream 200ml is a cream specially formulated for the atopic skins and is ideal in case of extreme dryness. This cream with unctuous and comfortable texture nourishes intensely your skin while protecting and soothing the sensations of itching. It contains an association of 3 patented complexes and of Uriage Thermale Water for a triple barrier action.This care allows to balance the microbial barrier, restore and reinforce the skin barrier.Ideal for the whole family, this cream can be used for the babies, children and adults. It is applies on the face and body.Formulated with fragrance free. Hypoallergenic."
625,La Roche-PosayLa Roche Posay Tolériane Ultra Fluid 40ml + Free Dermo-Cleanser 50ml,3433425288291,La Roche-Posay,15.40,0.0,0,Fluid,2 products,In stock,"La Roche Posay Tolériane Ultra Fluid 40ml + Free Dermo-Cleanser 50ml combines two products:- La Roche Posay Tolériane Ultra Fluid 40ml with fresh and non greasy texture is an ultra-soothing care to use daily on ultra-sensitive or allergic, normal to combination skins.Combining, the Neurosensine, a powerful soothing active ingredient that targets signs of cutaneous irritations, to La Roche-Posay thermal water with soothing and anti-irritant properties, this fluid moisturizes, and soothes the skin. It reduces sensitiveness and restores cutaneous comfort, day after day.Its ultra-hermetic packaging is the assurance of a maximal pureness for an optimal tolerance. Free from paraben, preservative, alcohol, lanolin. Non comedogenic. Tested on allergic skin. Suitable for the eye contour.- La Roche-Posay Toleriane Dermo Cleanser 50ml cleanses, removes make-up of the face and eyes of sensitive or intolerant skins."
626,Argiletz Green Clay Face Mask 100g,3326101000181,Argiletz,2.90,4.0, 10 ,Paste,100g,In stock,"Since the dawn of time, clay is used for therapeutic purposes by many civilizations. This magical clay has minerals providing wellness to the body and has numerous properties.Argiletz Green Clay Face Mask 100g ready to use is a raw illite clay, sun-dried for optimum results specially created to purify oily skins, absorbing the sebum excess. Thanks to its high quality and its authentic benefits, it brings comfort.100% natural clay. Preservative-free, irradiation-free. "
627,Eucerin UreaRepair PLUS Emollient 5% Urea 400ml,4005800024559,Eucerin,16.30,4.0, 13 ,Milk,400ml,In stock,"Eucerin UreaRepair PLUS Emollient 5% Urea 400ml is a body lotion suitable for dry, rough and tugging skins.- It limits the insensitive losses of water- It reinforces the lipid barrier- It restores the natural hydration synthesis of skin.This care effectively soothes the signs of dry skin.Free from fragrance and dye, it effectively combats the factors of cutaneous dryness."
628,Darphin Exquisâge Beauty Revealing Cream 50ml,882381073459,Darphin,63.70,5.0, 7 ,Cream,50ml,In stock,"Darphin Exquisâge Beauty Revealing Cream 50ml is the secret for an exquisite skin. This cream celebrates your age and brings energy to your skin daily.The association of CelluVie Complex and probiotics known to strengthen the skin, allows to bring comfort and protection to the skin.Results: The wrinkles are clearly less visibly, the skin is more elastic and firmer. The complexion is radiant and more beautiful than before!85% of total ingredients are of natural origin.Paraben-free. Non comedogenic. Dermatologically tested. "
629,Darphin Melaperfect Anti-Dark Spots Perfecting Treatment 30ml,882381052263,Darphin,50.90,4.0, 6 ,Emulsion,30ml,In stock,"Darphin Melaperfect Anti-Dark Spots Perfecting Treatment 30ml is a silky emulsion which has the power to harmonize the complexion and to reduce dark spots, beautifying the skin. It is suitable for all skin types.Thanks to the Selectiv Mela System, innovative complex combining a patent pending ingredient stemming from biotechnologies (Trametes Mushroom extract) with targeted botanical ingredients (Gentian, Turmeric), this treatment helps reduce the appearance of dark spots and avoid their recurrence.This fine care reinforces natural defenses of the skin to beautify the skin and improve its quality daily, thanks to its concentration in anti-oxidants.After 4 weeks of use, effects are visible: intensity and size of spots are reduced, and after 8 weeks of use, they are reduced by half.Formulated with paraben free. Non-comedogenic. Dermatologist tested. "
630,Avène Cleanance Expert Tinted Care 40ml,3282770114874,Avène,11.80,0.0,0,Cream,40ml,In stock,"Avène Cleanance Expert Tinted Care 40ml is a skin care specifically developed for acne-prone skin. This care contains: - Diolényl, a patented innovation developed by Pierre Fabre Research, with a selective triple action, it limits the risk of bacterial proliferation (clinically proven), reduces redness, and helps eliminate spots.- X-pressin, helps reduce blackheads and smoothes the skin's texture. - Monolaurin, regulates the hyperproduction of sebum.- Avene Thermal Spring Water, provides all its soothing and anti-irritating benefits. This creamy emulsion spreads easily and is absorbed quickly by the skin. Your skin is hydrated and matified, the complexion is unified, with a good-looking effect."
632,Argiletz Red Clay Face Mask 100 g,3326101000211,Argiletz,2.99,4.0, 8 ,Paste,100 g,In stock,"Since the dawn of time, clay is used for therapeutic purposes by many civilizations. This magical clay has minerals providing wellness to the body and has numerous properties.Argiletz Red Clay Face Mask 100 g ready to use is a raw illite clay, sun-dried for optimum results. Specially used to purify dry skins, the red clay cleanses face, offers luminosity and softness, for a natural radiance. Rich in trace elements, this mask brings useful minerals for the epidermis.100% natural clay. Preservative-free, ionization-free. "
633,Ducray Ictyane Lip Stick 2 x 3g,634154664964,Ducray,3.60,0.0,0,Balm,2 x 3g,In stock,"Thanks to its protective formula, very creamy, Ictyane Lip Stick moisturises and protects the desiccated lips, dried out by climatic conditions. It has been specially designed to combine:- Maximal emollient action (complex petroleum jelly/glycerine),- Optimal ultra rich effect (shea butter),- Repairing effect (complex vitamin A, E, C),- Long lasting action, i.e 6 hours long, through squalane. "
634,Saint-Gervais Mont Blanc Soothing Balm 200ml,3600550977516,Saint-Gervais,14.50,0.0,0,Balm,200ml,In stock,"Saint-Gervais Mont Blanc Soothing Balm 200ml is an anti-severe cutaneous dryness care especially for the very dry to atopic prone skin.Composed of soothing Alpine Mallow, it is recommended to soothe the twinge and itching sensation linked to the dry skin. It restores and restructurates the cutaneous barrier. Its rich and moisturizing balm texture is easy to apply and non-sticky.Formulated for the sensitive skins. Hypoallergenic. Fragrance free.Made in France."
635,Uriage Cold Cream 100ml,3661434000720,Uriage,9.10,4.0, 5 ,Cream,100ml,In stock,"Uriage Cold Cream 100ml is specially designed for the very dry and sensitive skins.Formulated to protect the skin from external attacks, it is formulated on the basis of beeswax with nutritional properties. Rich in Uriage Thermal Spring Water, it restores the hydrolipidic film and soothes the skin."
636,Laboratoire du Haut-Ségala Organic Italian Helichrysum Floral Water 250ml,3559480207937,Laboratoire,7.20,0.0,0,Water,250ml,In stock,"Laboratoire du Haut-Ségala Organic Italian Helichrysum Floral Water 250ml is a water from the Mediterranean region that contributes to attenuate the rednesses and dark-circles as well as skin marks and rosacea. It is an ideal care for the most delicate skins thanks to its soothing virtues. Its nickname of Helichrysum refers to its yellow flowers that even cut never fade. Its smell is typical and powerful.Cosmos Organic certified by Ecocert Greenlife according to Cosmos standard.99,8% of total ingredients are of natural origin.99,8% of total ingredients are from Organic Farming.Made in France."
637,Avène A-Oxitive Antioxidant Defense Serum Sensitive Skins 30ml,3282770208177,Avène,29.36,0.0,0,Serum,30ml,In stock,"Avène A-Oxitive Antioxidant Defense Serum Sensitive Skins 30ml is a care recommended for tired skins in lack of energy, dull complexion, first wrinkles and fine lines, irregular skin texture.This care is a protective shield to help the skin to defend against the aggressions caused by oxidative stress thanks to its unique and complementary action: - GP4G: cell energizer that reinforces and stimulates the natural mechanisms of skin defense,- antioxidant shield complex (Pro Vitamins A and E). It acts in synergical and durable way to neutralize free radicals and protect the skin. Rich in soothing, anti-irritating and softening Avène Thermal Water.Results: the complexion is fresh and radiant of energy. The first wrinkles and fine lines are visibly reduced. The skin is protected, smoothed and moisturized. Developed to minimize the risk of allergic reactions. Non-comedogenic.Made in France."
638,Laboratoire du Haut-Ségala Organic Neem Oil 50ml,3559480336941,Laboratoire,6.30,5.0, 1 ,Oil,50ml,In stock,"Laboratoire du Haut-Ségala Organic Neem Oil 50ml is an oil very used in Ayurvedic medicine.It is a care well known in India for generations. Its composition in unsaturated fatty acids place this oil as ideal care to enrich the treatments intended for skin affections. It can be also used as hair mask, before the shampoo or incorporated to this one.Cosmos Organic certified by Ecocert Greenlife according to Ecocert standard.100% of total ingredients are from Organic Farming.Made in France."
640,Biotherm Life Plankton Eye Fundamental Regenerating Eye Treatment 15ml,3614272360037,Biotherm,32.70,0.0,0,Cream,15ml,In stock,"Biotherm Life Plankton Eye Fundamental Regenerating Eye Treatment 15ml is an anti-aging care specially formulated for the care of the eyes contour. This care is infused with the highest concentration of Life Plankton in a smoothing creamy-gel texture, to optimize skin regeneration for visibly younger-looking eyes.From 8 days onward: eye contour looks denser, firmer, whereas wrinkles and fine lines appear diminished, as well as dark circles and puffiness."
641,Lierac Premium The Booster Serum Absolute Anti-Aging New Formula 30ml,3508240010720,Lierac,77.30,0.0,0,Serum,30ml,In stock,"Lierac Premium The Booster Serum Absolute Anti-Aging New Formula 30ml is an anti-ageing care designed to correct all signs of ageing.Its high-tech formula based on research in regenerative medicine concentrates :Regenerating Hexapeptide FX that boosts cell regeneration.An anti-aging Hyalu-3 concentrate that smoothes, plumps and fills in wrinkles.Redensifying black tulip that redensifies the epidermis and dermis.Illuminating Kombucha that enhances the natural radiance of the complexion.The skin is more luminous, as if regenerated, firmer, the complexion is unified.94% of ingredients of natural origin.Made in France. "
642,CicaBiafine Daily Hydrating Body Milk 400ml,3574660572254,CicaBiafine,14.50,0.0,0,Capsule,400ml,In stock,"CicaBiafine Daily Hydrating Body Milk 400ml is enriched with hyaluronic acid, with repairing properties. Designed for dry, rough and torn skins, it immediately hydrates and repairs the whole family's skin.Upon the first application, your skin is moisturized and soothed. Day after day, your skin is repaired, soft and smooth.The mild, creamy texture of Cicabianfine penetrates quickly and does not stick."
643,Aderma Skin Care Cream Delicate Skins 150ml,3282779286145,Aderma,15.40,4.0, 4 ,Cream,150 ml,Limited quantity: 1,"Aderma Skin Care Cream with Rhealba Oat has been formulated with care for more softness and tolerance everyday.Designed for the whole family body or face skin, Aderma Skin Care Cream with Rhealba Oat delivers all the known, virtues of Rhealba Oat Milk.Through its unique formula, enriched in moisturising glycols, it durably moisturises and nourishes the delicate skins, soothes the discomfort feelings, respects and protects skin hydrolipidic film.Its fine and non-greasy texture penetrates from application. Skin refinds comfort, well-being and softness.Non comedogenic, hypoallergenic.Fragrance-free, paraben-free."
644,La Roche-Posay Nutritic Lips,30070349,La Roche-Posay,3.60,5.0, 5 ,Stick,"4,7 ml",In stock,"Transformation care for dessicated lips, through Biolipids and Ceramide 5."
645,Eucerin Hyaluron-Filler + Elasticity Day Care SPF15 50ml,4005900386397,Eucerin,33.60,4.0, 53 ,Cream,50ml,In stock,"Eucerin Hyaluron-Filler + Elasticity Day Care SPF15 50ml is a day care, ideal for the care of mature skins. It reinforces the skin structure by improving its elasticity and by filling the wrinkles, even deep wrinkles.This day care contains an innovating and unique formula based of Arctiine, an active ingredient which accelerates the collagen renewal in the cells of the skin. Arctiine works in addition with the Silymarine, a powerful antioxidant which allows to protect the collagen and elastin from their degradation and improves the circulation of the skin at the cellular level.This formula contains also Hyaluronic Acid of low and high molecular weight in order to fill effectively the wrinkles.Its anti-UVB/UVA (SPF15) protection allows to prevent from damages that could be caused by the sun rays, as digging of deep wrinkles or acceleration of skin-ageing process.Rapidly, the skin seems firmer and reinforced. The wrinkles and fine lines are visibly reduced, and the complexion is illuminated. "
646,Uriage Rich Water Cream 40ml,3661434004995,Uriage,13.20,5.0, 4 ,Cream,40ml,In stock,"Uriage Rich Water Cream 40ml is a cream that moisturizes, nourishes and illuminates the skin of your face. It is ideal for the care of dry to very dry skins.This cream is formulated based of Uriage Thermale Water that helps to reconstruct the cutaneous barrier to maintain an optimal moisturizing level. It allows to reform a surface film and to release gradually the moisturizing actives contained in the rich water cream. This cream contains also shea butter that awakes and softens your skin. Its rich and unctuous texture is easy to apply for an immediate penetration on the heart of the skin. After application, your skin is perfectly nourished and comforted. Hypoallergenic. Tested under dermatologic control."
647,SVR Clairial Serum Complete Corrector Anti-Brown Spot Radiance 30ml,3401360060753,SVR,30.90,4.0, 2 ,Serum,30ml,In stock,"Ideal if you have brown spots such as pregnancy mask, sun, aging, imperfections...SVR Clairial Serum Complete Corrector Anti-Brown Spot Radiance 30ml with very fine and white texture with moisturising liquid crystals immediately moisturises the skin and prevents the apparition of marks.Its formula contains dermatological active ingredients highly dosed:- depigmenting complex 8% reduces and fades dark spots, prevents new ones,- vitamin C optimized 2% activates and evens the complexion,- bio-neige soft focus smoothes the skin and blurs dark spots immediately.The skin is evened, softer, moisturised, non sticky and lightly perfumed.Hypoallergenic. Paraben-free."
648,Noreva Cicadiane Soothing Repairing Care SPF50+ 40ml,3401360136946,Noreva,10.90,5.0, 1 ,Cream,40ml,In stock,"Noreva Cicadiane Soothing Repairing Care SPF50+ 40ml is a treatment with a non-greasy texture, specially developed to:ensure optimal sun protection and limit post-scar hyper pigmentations,provide hydration and rapid restoration of the skin barrier following various epidermal alterations: damaged, irritated, sensitive skin, aesthetic post-acts, post-intervention ...This cream is endowed with rigorously selected active ingredients:broad spectrum sun filters for effective protection;moisturizing and film-forming agents which, in combination with hyaluronic acid BPM, make it possible to protect, moisturize and provide aesthetic scar remodeling;hyaluronic acid with a controlled and specific molecular weight associated with magnesium in order to optimize the relaunch of the skin repair process and soothe feelings of discomfort;the copper / zinc association helps to promote skin sanitation and limit bacterial proliferation.Photostable. High tolerance.Tested under dermatological control.Without paraben, phenoxyethanol, perfume, coloring.Made in France. "
